flex,fsr1,fsr2,fsr3,pitch,roll,label
329,0.00,0.00,15.53,69.30,24.93,Sitting
323,0.00,0.00,15.32,69.30,24.87,Sitting
310,0.00,0.00,15.13,69.27,24.78,Sitting
295,0.00,0.00,15.02,69.21,24.70,Sitting
304,0.00,0.00,15.30,69.13,24.68,Sitting
305,0.00,0.00,15.26,69.07,24.66,Sitting
313,0.00,0.00,15.42,69.03,24.69,Sitting
297,0.00,0.00,15.15,69.00,24.68,Sitting
290,0.00,0.00,14.99,69.04,24.76,Sitting
286,0.00,0.00,14.94,69.05,24.81,Sitting
289,0.00,0.00,14.61,69.07,24.81,Sitting
285,0.00,0.00,14.56,69.10,24.82,Sitting
302,0.00,0.00,14.88,69.14,24.90,Sitting
318,0.00,0.00,15.12,69.18,24.98,Sitting
299,0.00,0.00,14.97,69.20,24.99,Sitting
296,0.00,0.00,14.82,69.20,25.03,Sitting
295,0.00,0.00,14.77,69.19,25.13,Sitting
295,0.00,0.00,14.69,69.19,25.17,Sitting
290,0.00,0.00,14.62,69.18,25.17,Sitting
288,0.00,0.00,14.61,69.16,25.17,Sitting
317,0.00,0.00,14.91,69.14,25.22,Sitting
339,0.00,0.00,15.14,69.11,25.23,Sitting
356,0.48,0.00,15.33,69.12,25.24,Sitting
371,0.84,0.00,15.49,69.12,25.19,Sitting
357,0.36,0.00,15.32,69.12,25.30,Sitting
348,0.09,0.00,15.13,69.11,25.32,Sitting
340,0.00,0.00,14.94,69.11,25.30,Sitting
331,0.00,0.00,14.74,69.10,25.29,Sitting
357,0.22,0.00,15.02,69.09,25.36,Sitting
373,0.83,0.00,15.31,69.09,25.36,Sitting
385,1.28,0.00,15.45,69.09,25.31,Sitting
391,1.62,0.00,15.53,69.09,25.30,Sitting
373,1.16,0.00,15.35,69.05,25.46,Sitting
353,0.89,0.00,15.09,69.02,25.52,Sitting
338,0.57,0.00,14.97,68.96,25.54,Sitting
327,0.00,0.00,14.81,68.92,25.58,Sitting
343,0.59,0.00,15.03,68.92,25.62,Sitting
349,1.09,0.00,15.27,68.92,25.66,Sitting
354,1.48,0.00,15.40,68.92,25.71,Sitting
330,1.08,0.00,15.09,68.95,25.79,Sitting
312,0.72,0.00,14.94,68.99,26.07,Sitting
298,0.59,0.00,15.06,69.04,26.10,Sitting
291,0.61,0.00,14.85,69.08,26.10,Sitting
287,0.67,0.00,14.70,69.10,26.07,Sitting
310,1.29,0.00,15.01,69.09,26.03,Sitting
306,0.49,0.00,14.95,69.07,25.99,Sitting
328,1.15,0.00,15.15,69.06,25.96,Sitting
318,0.88,0.00,14.95,69.00,25.89,Sitting
312,0.57,0.00,14.81,68.98,25.97,Sitting
305,0.37,0.00,14.68,68.98,25.89,Sitting
301,0.59,0.00,14.59,68.98,25.81,Sitting
315,1.38,0.00,14.89,68.97,25.72,Sitting
303,1.41,0.00,14.91,68.98,25.68,Sitting
314,2.25,0.00,15.12,69.01,25.56,Sitting
320,3.01,0.00,15.30,69.04,25.41,Sitting
302,2.42,0.00,14.97,69.02,25.30,Sitting
293,2.34,0.00,14.91,69.02,25.38,Sitting
285,2.47,0.00,14.79,69.03,25.30,Sitting
276,2.39,0.00,14.71,69.03,25.21,Sitting
299,3.11,0.00,15.00,69.05,25.14,Sitting
319,3.64,0.00,15.27,69.06,25.09,Sitting
335,3.80,0.00,15.46,69.03,25.02,Sitting
348,4.10,0.00,15.55,69.02,25.01,Sitting
333,3.64,0.00,15.27,69.02,24.97,Sitting
319,3.51,0.00,15.10,69.04,25.04,Sitting
313,3.30,0.00,14.95,69.06,25.06,Sitting
302,3.20,0.00,14.86,69.02,25.06,Sitting
312,3.37,0.00,14.96,68.99,25.11,Sitting
331,3.87,0.00,15.22,68.98,25.14,Sitting
342,4.27,0.00,15.42,69.03,25.13,Sitting
354,4.58,0.00,15.65,69.06,25.09,Sitting
350,3.96,0.00,15.35,69.05,25.08,Sitting
338,3.49,0.00,15.16,69.03,25.18,Sitting
323,2.94,0.00,14.99,69.01,25.20,Sitting
314,2.56,0.00,14.89,69.00,25.14,Sitting
306,2.33,0.00,14.69,69.02,25.09,Sitting
331,2.89,0.00,15.06,69.00,25.08,Sitting
352,3.38,0.00,15.31,68.98,25.04,Sitting
337,3.03,0.00,15.21,68.97,25.03,Sitting
354,3.35,0.00,15.39,68.93,25.03,Sitting
339,3.01,0.00,15.22,68.98,25.11,Sitting
329,2.67,0.00,15.07,69.02,25.09,Sitting
321,2.42,0.00,14.78,69.04,25.05,Sitting
314,2.13,0.00,14.70,69.03,25.04,Sitting
332,2.72,0.00,15.01,69.03,25.14,Sitting
348,3.15,0.00,15.27,69.06,25.11,Sitting
360,3.50,0.00,15.49,69.09,25.02,Sitting
342,2.91,0.00,15.12,69.10,24.99,Sitting
328,2.99,0.00,15.08,69.11,25.02,Sitting
320,2.56,0.00,14.97,69.10,25.04,Sitting
315,2.28,0.00,14.88,69.08,25.02,Sitting
309,2.10,0.00,14.78,69.09,25.00,Sitting
308,1.96,0.00,14.67,69.10,25.07,Sitting
327,2.51,0.00,14.99,69.11,25.05,Sitting
322,2.34,0.00,14.71,69.09,25.06,Sitting
337,2.24,0.00,14.83,69.08,25.05,Sitting
328,3.11,0.00,14.77,69.09,25.27,Sitting
323,2.81,0.00,14.75,69.12,25.28,Sitting
318,2.55,0.00,14.70,69.13,25.25,Sitting
328,2.85,0.00,14.83,69.12,25.22,Sitting
346,3.45,0.00,15.12,69.12,25.18,Sitting
335,3.25,0.00,14.97,69.12,25.16,Sitting
353,3.54,0.00,15.23,69.08,25.13,Sitting
340,3.16,0.00,15.17,69.08,25.11,Sitting
333,2.77,0.00,15.04,69.06,25.13,Sitting
327,2.59,0.00,14.92,69.04,25.14,Sitting
322,2.47,0.00,14.82,69.00,25.10,Sitting
313,2.14,0.00,14.71,69.01,25.06,Sitting
295,1.46,0.00,14.73,69.05,25.12,Sitting
312,1.98,0.00,15.11,69.06,25.08,Sitting
323,2.35,0.00,15.35,69.06,25.03,Sitting
308,1.63,0.00,15.16,69.06,25.00,Sitting
297,1.12,0.00,15.01,69.06,25.12,Sitting
292,0.81,0.00,14.90,69.04,25.13,Sitting
288,0.20,0.00,14.86,69.04,25.14,Sitting
299,0.44,0.00,15.03,69.01,25.10,Sitting
317,0.73,0.00,15.27,69.02,25.10,Sitting
331,1.00,0.00,15.47,69.04,25.01,Sitting
342,1.13,0.00,15.63,69.08,24.98,Sitting
325,0.57,0.00,15.40,69.10,24.91,Sitting
315,0.00,0.00,15.32,69.11,25.02,Sitting
305,0.00,0.00,15.15,69.11,25.05,Sitting
301,0.00,0.00,14.70,69.10,25.06,Sitting
320,0.00,0.00,15.02,69.12,25.07,Sitting
339,0.00,0.00,15.27,69.11,25.08,Sitting
353,0.00,0.00,15.48,69.09,25.08,Sitting
363,0.13,0.00,15.64,69.06,25.06,Sitting
344,0.00,0.00,15.26,69.04,25.07,Sitting
334,0.00,0.00,15.14,69.03,25.09,Sitting
316,0.00,0.00,15.09,69.04,25.09,Sitting
304,0.00,0.00,14.98,69.05,25.05,Sitting
296,0.00,0.00,14.92,69.05,24.99,Sitting
316,0.00,0.00,15.26,69.05,24.98,Sitting
332,0.00,0.00,15.54,69.05,24.92,Sitting
345,0.32,0.00,15.77,69.03,24.86,Sitting
353,0.84,0.00,15.87,69.03,24.80,Sitting
337,0.47,0.00,15.64,69.03,24.92,Sitting
318,0.15,0.00,15.44,69.05,24.92,Sitting
306,0.00,0.00,15.28,69.05,24.90,Sitting
309,0.18,0.00,15.29,69.07,24.92,Sitting
302,0.25,0.00,15.18,69.06,24.93,Sitting
318,0.85,0.00,15.48,69.07,24.95,Sitting
314,0.47,0.00,15.18,69.05,24.91,Sitting
296,0.38,0.00,15.02,69.06,24.91,Sitting
289,0.29,0.00,15.02,69.08,25.00,Sitting
284,0.05,0.00,15.06,69.09,25.03,Sitting
279,0.24,0.00,14.98,69.08,25.02,Sitting
271,0.56,0.00,14.87,69.07,25.02,Sitting
291,1.50,0.00,15.23,69.07,25.09,Sitting
278,1.63,0.00,15.14,69.05,25.09,Sitting
