flex,fsr1,fsr2,fsr3,pitch,roll,label
0,3.94,0.00,15.13,-26.34,27.18,Walking
0,3.24,0.00,14.98,-26.34,27.20,Walking
0,2.26,0.00,14.99,-26.36,27.06,Walking
0,1.09,0.00,14.86,-26.39,26.81,Walking
0,0.65,0.00,15.16,-26.41,26.56,Walking
0,0.38,0.00,15.39,-26.41,26.28,Walking
0,0.13,0.00,15.59,-26.38,26.05,Walking
0,0.00,0.00,15.28,-26.31,25.78,Walking
0,0.00,0.00,15.16,-26.25,25.55,Walking
0,0.00,0.00,15.07,-26.20,25.37,Walking
0,0.00,0.00,15.01,-26.14,25.21,Walking
0,0.00,0.00,15.27,-26.10,25.08,Walking
0,0.00,0.00,15.40,-26.01,24.96,Walking
0,0.09,0.00,15.43,-25.94,24.84,Walking
0,0.00,0.00,14.99,-25.84,24.73,Walking
0,0.00,0.00,14.64,-25.71,24.62,Walking
0,1.20,0.00,14.28,-25.56,24.65,Walking
0,0.83,0.00,14.12,-25.44,24.56,Walking
0,0.80,0.00,13.86,-25.33,24.48,Walking
0,1.73,0.00,13.98,-25.20,24.41,Walking
0,2.50,0.00,14.04,-25.10,24.33,Walking
0,3.16,0.00,14.08,-25.00,24.22,Walking
0,3.69,0.00,14.13,-24.79,24.07,Walking
0,2.76,0.00,13.63,-24.50,23.75,Walking
0,2.97,0.00,13.40,-24.16,23.10,Walking
0,2.81,0.00,12.53,-24.00,22.66,Walking
0,2.26,0.00,11.95,-23.99,22.57,Walking
0,1.67,0.00,12.02,-23.74,22.42,Walking
0,0.69,0.00,11.90,-23.08,21.98,Walking
0,0.00,0.00,12.00,-22.23,21.56,Walking
0,0.00,0.00,11.93,-21.48,21.40,Walking
0,0.00,0.00,11.64,-20.78,21.35,Walking
0,0.00,0.00,11.46,-20.09,21.44,Walking
0,0.00,0.00,10.97,-19.26,21.61,Walking
0,0.00,0.00,10.81,-18.21,21.89,Walking
0,0.00,0.00,10.91,-16.93,22.25,Walking
0,0.00,0.00,10.76,-15.37,22.74,Walking
0,0.00,0.00,10.64,-13.38,23.14,Walking
0,0.00,0.00,10.52,-11.79,22.99,Walking
0,0.00,0.00,10.05,-10.82,22.52,Walking
0,0.00,0.00,9.74,-9.89,22.04,Walking
0,0.00,0.00,9.29,-9.17,21.69,Walking
0,0.00,0.00,9.60,-8.83,21.63,Walking
0,0.00,0.00,9.67,-8.68,21.88,Walking
0,0.00,0.00,9.91,-8.52,22.37,Walking
0,0.00,0.00,10.11,-7.35,23.08,Walking
0,0.00,0.00,10.04,-5.37,23.43,Walking
0,0.00,0.00,9.92,-2.89,23.36,Walking
0,0.00,0.00,10.05,-0.73,22.34,Walking
0,0.00,0.00,10.09,1.73,21.68,Walking
0,0.00,0.00,10.59,4.35,21.90,Walking
